positive_upslopes,positive_downslopes,boundary_upslopes,boundary_downslopes
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,NaN,NaN,NaN
0,NaN,NaN,NaN
0,0,NaN,NaN
3,3,NaN,NaN
3,3,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
NaN,-2,NaN,NaN
NaN,-2,NaN,NaN
NaN,NaN,NaN,NaN
0,NaN,0,NaN
0,NaN,0,NaN
0,0,0,0
6,6,5,5
6,6,0,0
0,0,0,0
0,0,0,0
NaN,-1,NaN,-2
NaN,-1,NaN,0
NaN,NaN,NaN,NaN
0,NaN,NaN,NaN
0,NaN,NaN,NaN
0,0,NaN,NaN
2,2,NaN,NaN
2,2,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
NaN,-4,NaN,NaN
NaN,-4,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
